stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
AG,,Camino Agrícola,-33.491585,-70.617531,http://www.metro.cl/estacion/camino-agricola
AH,,San Alberto Hurtado,-33.454113,-70.692436,http://www.metro.cl/estacion/san-alberto-hurtado
AL,,Alcántara,-33.415325,-70.589453,http://www.metro.cl/estacion/alcantara
AN,,Santa Ana,-33.438254,-70.659823,http://www.metro.cl/estacion/santa-ana-l2
AV,,Vespucio Norte,-33.380429,-70.646821,http://www.metro.cl/estacion/vespucio-norte
BA,,Baquedano,-33.437036,-70.633527,http://www.metro.cl/estacion/baquedano-l1
BE,,Bellas Artes,-33.436611,-70.644524,http://www.metro.cl/estacion/bellas-artes
BI,,Francisco Bilbao,-33.431484,-70.584641,http://www.metro.cl/estacion/francisco-bilbao
BL,,Blanqueado,-33.441505,-70.707321,http://www.metro.cl/estacion/blanqueado
BR,,Barrancas,-33.452669,-70.739017,http://www.metro.cl/estacion/barrancas
BU,,Santiago Bueras,-33.496645,-70.757567,http://www.metro.cl/estacion/santiago-bueras
CA,,Cal y Canto,-33.432716,-70.652500,http://www.metro.cl/estacion/cal-y-canto
CB,,Cerro Blanco,-33.422554,-70.644974,http://www.metro.cl/estacion/cerro-blanco
CE,,Cementerios,-33.414074,-70.643562,http://www.metro.cl/estacion/cementerios
CH,,Universidad de Chile,-33.443809,-70.650391,http://www.metro.cl/estacion/universidad-de-chile
CN,,Ciudad del Niño,-33.510162,-70.656860,http://www.metro.cl/estacion/ciudad-del-nino
CO,,Cristóbal Colón,-33.426224,-70.590973,http://www.metro.cl/estacion/cristobal-colon
CV,,Carlos Valdovinos,-33.485641,-70.619652,http://www.metro.cl/estacion/carlos-valdovinos
DE,,Departamental,-33.502556,-70.654640,http://www.metro.cl/estacion/departamental
DO,,Dorsal,-33.396801,-70.642677,http://www.metro.cl/estacion/dorsal
DS,,Del Sol,-33.489991,-70.752848,http://www.metro.cl/estacion/del-sol
EA,,Elisa Correa,-33.569405,-70.583611,http://www.metro.cl/estacion/el-parron
EC,,Ecuador,-33.456047,-70.699669,http://www.metro.cl/estacion/ecuador
EG,,Plaza Egaña,-33.453278,-70.570732,http://www.metro.cl/estacion/plaza-egana
EI,,Einstein,-33.405731,-70.643135,http://www.metro.cl/estacion/einstein
EL,,Estación Central,-33.450970,-70.679169,http://www.metro.cl/estacion/estacion-central
EM,,Escuela Militar,-33.413752,-70.583250,http://www.metro.cl/estacion/escuela-militar
EP,,El Parrón,-33.526531,-70.661423,http://www.metro.cl/estacion/el-llano
FR,,Franklin,-33.476217,-70.649632,http://www.metro.cl/estacion/franklin
GA,,Príncipe de Gales,-33.439163,-70.573090,http://www.metro.cl/estacion/principe-de-gales
GL,,Gruta de Lourdes,-33.438262,-70.690838,http://www.metro.cl/estacion/gruta-de-lourdes
GO,,El Golf,-33.416611,-70.595688,http://www.metro.cl/estacion/el-golf
HM,,Hernando de Magallanes,-33.407904,-70.556213,http://www.metro.cl/estacion/hernando-magallanes
HS,,Hospital Sótero del Río,-33.576462,-70.582375,http://www.metro.cl/estacion/hospital-sotero-del-rio
IR,,Irarrázaval,-33.453766,-70.628773,http://www.metro.cl/estacion/irarrazaval
JE,,San José de la Estrella,-33.553356,-70.586562,http://www.metro.cl/estacion/san-jose-de-la-estrella
JU,,Santa Julia,-33.531105,-70.605499,http://www.metro.cl/estacion/santa-julia
LA,,Unión Latino Americana,-33.449467,-70.673203,http://www.metro.cl/estacion/union-latinoamericana
LC,,La Cisterna,-33.537443,-70.664251,http://www.metro.cl/estacion/la-cisterna-l2
LD,,Los Dominicos,-33.407895,-70.545109,http://www.metro.cl/estacion/los-dominicos
LE,,Los Leones,-33.422164,-70.608590,http://www.metro.cl/estacion/los-leones
LF,,Bellavista de la Florida,-33.519822,-70.599652,http://www.metro.cl/estacion/bellavista-de-la-florida
LG,,La Granja,-33.541138,-70.615967,http://www.metro.cl/estacion/la-granja
LH,,Los Héroes,-33.446108,-70.660360,http://www.metro.cl/estacion/los-heroes-l1
LL,,El Llano,-33.482703,-70.649445,http://www.metro.cl/estacion/elisa-correa
LM,,La Moneda,-33.444857,-70.654811,http://www.metro.cl/estacion/la-moneda
LO,,Lo Ovalle,-33.517200,-70.658707,http://www.metro.cl/estacion/lo-ovalle
LP,,Los Presidentes,-33.479797,-70.578712,http://www.metro.cl/estacion/los-presidentes
LQ,,Los Quillayes,-33.560627,-70.585289,http://www.metro.cl/estacion/los-quillayes
LR,,Las Rejas,-33.457157,-70.705963,http://www.metro.cl/estacion/las-rejas
