stop_name,stop_id,stop_lat,stop_lon,subidas,stop_url,página wikipedia
Alcántara,AL,-33.415325,-70.589453,15082.8,http://www.metro.cl/estacion/alcantara,
Baquedano,BA,-33.437036,-70.633527,37643.4,http://www.metro.cl/estacion/baquedano-l1,
Barrancas,BR,-33.452669,-70.739017,6974,http://www.metro.cl/estacion/barrancas,
Bellas Artes,BE,-33.436611,-70.644524,12872.6,http://www.metro.cl/estacion/bellas-artes,
Bellavista de la Florida,LF,-33.519822,-70.599652,25326.6,http://www.metro.cl/estacion/bellavista-de-la-florida,
Blanqueado,BL,-33.441505,-70.707321,6889.8,http://www.metro.cl/estacion/blanqueado,
Cal y Canto,CA,-33.432716,-70.652500,48642.4,http://www.metro.cl/estacion/cal-y-canto,
Camino Agrícola,AG,-33.491585,-70.617531,16544.2,http://www.metro.cl/estacion/camino-agricola,
Carlos Valdovinos,CV,-33.485641,-70.619652,9943.2,http://www.metro.cl/estacion/carlos-valdovinos,
Cementerios,CE,-33.414074,-70.643562,4150,http://www.metro.cl/estacion/cementerios,
Cerro Blanco,CB,-33.422554,-70.644974,8783.6,http://www.metro.cl/estacion/cerro-blanco,
Ciudad del Niño,CN,-33.510162,-70.656860,8289,http://www.metro.cl/estacion/ciudad-del-nino,
Cristóbal Colón,CO,-33.426224,-70.590973,11111.2,http://www.metro.cl/estacion/cristobal-colon,
Cumming,RC,-33.439098,-70.668427,12139.6,http://www.metro.cl/estacion/cumming,
Del Sol,DS,-33.489991,-70.752848,6282,http://www.metro.cl/estacion/del-sol,
Departamental,DE,-33.502556,-70.654640,10220.8,http://www.metro.cl/estacion/departamental,
Dorsal,DO,-33.396801,-70.642677,9842.8,http://www.metro.cl/estacion/dorsal,
Ecuador,EC,-33.456047,-70.699669,13258.4,http://www.metro.cl/estacion/ecuador,
Einstein,EI,-33.405731,-70.643135,12323.4,http://www.metro.cl/estacion/einstein,
El Golf,GO,-33.416611,-70.595688,21083.4,http://www.metro.cl/estacion/el-golf,
El Parrón,EP,-33.526531,-70.661423,9527.6,http://www.metro.cl/estacion/el-llano,
Elisa Correa,EA,-33.569405,-70.583611,18382.2,http://www.metro.cl/estacion/el-parron,
El Llano,LL,-33.482703,-70.649445,10680.2,http://www.metro.cl/estacion/elisa-correa,
Escuela Militar,EM,-33.413752,-70.583250,50133.2,http://www.metro.cl/estacion/escuela-militar,
Estación Central,EL,-33.450970,-70.679169,46924.4,http://www.metro.cl/estacion/estacion-central,
Francisco Bilbao,BI,-33.431484,-70.584641,20446.4,http://www.metro.cl/estacion/francisco-bilbao,
Franklin,FR,-33.476217,-70.649632,9063.6,http://www.metro.cl/estacion/franklin,
Grecia,RG,-33.468819,-70.576202,20578.8,http://www.metro.cl/estacion/grecia,
Gruta de Lourdes,GL,-33.438262,-70.690838,9715.4,http://www.metro.cl/estacion/gruta-de-lourdes,
Hernando de Magallanes,HM,-33.407904,-70.556213,9899.6,http://www.metro.cl/estacion/hernando-magallanes,
Hospital Sótero del Río,HS,-33.576462,-70.582375,33195.6,http://www.metro.cl/estacion/hospital-sotero-del-rio,
Irarrázaval,IR,-33.453766,-70.628773,32984.6,http://www.metro.cl/estacion/irarrazaval,
La Cisterna,LC,-33.537443,-70.664251,74133.2,http://www.metro.cl/estacion/la-cisterna-l2,
La Granja,LG,-33.541138,-70.615967,6573.2,http://www.metro.cl/estacion/la-granja,
La Moneda,LM,-33.444857,-70.654811,43773.8,http://www.metro.cl/estacion/la-moneda,
Laguna Sur,LS,-33.462563,-70.738066,13285,http://www.metro.cl/estacion/laguna-sur,
Las Mercedes,ME,-33.602119,-70.577194,16509.8,http://www.metro.cl/estacion/las-mercedes,
Las Parcelas,PA,-33.475394,-70.740043,8112.8,http://www.metro.cl/estacion/las-parcelas,
Las Rejas,LR,-33.457157,-70.705963,42446.6,http://www.metro.cl/estacion/las-rejas,
Las Torres,LT,-33.500034,-70.587074,7796.8,http://www.metro.cl/estacion/las-torres,
